method	taxid
cmsearch_rfamlit1_mid	1315144
cmsearch_rfamlit1_mid	1315145
cmsearch_rfamlit1_mid	1315146
cmsearch_rfamlit1_mid	1315147
cmsearch_rfamlit1_mid	1315148
cmsearch_rfamlit1_mid	1315149
cmsearch_rfamlit1_mid	1315151
cmsearch_rfamlit1_mid	1315161
cmsearch_rfamlit1_mid	1315165
cmsearch_rfamlit1_mid	1315172
cmsearch_rfamlit1_mid	1315173
cmsearch_rfamlit1_mid	1315174
cmsearch_rfamlit1_mid	1315175
cmsearch_rfamlit1_mid	1315176
cmsearch_rfamlit1_mid	1315177
cmsearch_rfamlit1_mid	1315178
cmsearch_rfamlit1_mid	1315179
cmsearch_rfamlit1_mid	1315184
cmsearch_rfamlit1_mid	1315185
cmsearch_rfamlit1_mid	1324966
cmsearch_rfamlit1_mid	1343075
cmsearch_rfamlit1_mid	1346792
cmsearch_rfamlit1_mid	1346793
cmsearch_rfamlit1_mid	1357398
cmsearch_rfamlit1_mid	1370126
cmsearch_rfamlit1_mid	1388759
cmsearch_rfamlit1_mid	1398943
cmsearch_rfamlit1_mid	1398944
cmsearch_rfamlit1_mid	1398945
cmsearch_rfamlit1_mid	1398946
cmsearch_rfamlit1_mid	1398947
cmsearch_rfamlit1_mid	1398948
cmsearch_rfamlit1_mid	1398949
cmsearch_rfamlit1_mid	1398950
cmsearch_rfamlit1_mid	1398952
cmsearch_rfamlit1_mid	1398953
cmsearch_rfamlit1_mid	1398954
cmsearch_rfamlit1_mid	1398955
cmsearch_rfamlit1_mid	1398956
cmsearch_rfamlit1_mid	1398957
cmsearch_rfamlit1_mid	1398958
cmsearch_rfamlit1_mid	1398959
cmsearch_rfamlit1_mid	1398961
cmsearch_rfamlit1_mid	1398963
cmsearch_rfamlit1_mid	1398964
cmsearch_rfamlit1_mid	1398965
cmsearch_rfamlit1_mid	1398967
cmsearch_rfamlit1_mid	1398968
cmsearch_rfamlit1_mid	1398969
cmsearch_rfamlit1_mid	1398970
cmsearch_rfamlit1_mid	1398973
cmsearch_rfamlit1_mid	1398974
cmsearch_rfamlit1_mid	1398975
cmsearch_rfamlit1_mid	1398976
cmsearch_rfamlit1_mid	1398979
cmsearch_rfamlit1_mid	1398981
cmsearch_rfamlit1_mid	1398982
cmsearch_rfamlit1_mid	1398984
cmsearch_rfamlit1_mid	1398985
cmsearch_rfamlit1_mid	1398986
cmsearch_rfamlit1_mid	1398987
cmsearch_rfamlit1_mid	1398988
cmsearch_rfamlit1_mid	1398989
cmsearch_rfamlit1_mid	1398990
cmsearch_rfamlit1_mid	1398991
cmsearch_rfamlit1_mid	1400520
cmsearch_rfamlit1_mid	1401079
cmsearch_rfamlit1_mid	1409928
cmsearch_rfamlit1_mid	1410656
cmsearch_rfamlit1_mid	1410671
cmsearch_rfamlit1_mid	1413187
cmsearch_rfamlit1_mid	1413216
cmsearch_rfamlit1_mid	1423819
cmsearch_rfamlit1_mid	1439316
cmsearch_rfamlit1_mid	1441734
cmsearch_rfamlit1_mid	1442604
cmsearch_rfamlit1_mid	1452729
cmsearch_rfamlit1_mid	1458920
cmsearch_rfamlit1_mid	1458921
cmsearch_rfamlit1_mid	1458922
cmsearch_rfamlit1_mid	1458923
cmsearch_rfamlit1_mid	1458924
cmsearch_rfamlit1_mid	1458925
cmsearch_rfamlit1_mid	1458926
cmsearch_rfamlit1_mid	1473580
cmsearch_rfamlit1_mid	1508404
cmsearch_rfamlit1_mid	1723382
cmsearch_rfamlit1_mid	1723384
cmsearch_rfamlit1_mid	1725361
cmsearch_rfamlit1_mid	1725362
cmsearch_rfamlit1_mid	1736425
cmsearch_rfamlit1_mid	1736451
cmsearch_rfamlit1_mid	1739537
